id,conversation_id,sender,content,created_at
73430f16-6069-4d74-a2d6-32f8e9511605,6d866a21-4548-4a10-b824-89045e4c49b3,matcher,嗨Alice，看你介绍提到喜欢徒步和读书，我也是。我叫Bob，30岁，本科毕业的软件工程师，身高178，不抽烟。周末经常去爬山。最近在读《三体》。,2026-05-20T16:24:25+00:00
02c1082f-4e46-480e-b06a-ea739d752b13,6d866a21-4548-4a10-b824-89045e4c49b3,agent,哦？你也喜欢《三体》啊，我之前还为里面的人物关系做了个手绘分析图呢。不过说实话，比起读书我更喜欢动手做点东西，最近在捣鼓一个木工小项目，手上都磨出茧了。,2026-05-20T16:24:34+00:00
8ed6f151-72c1-47bf-9a03-e7409e7f9ebc,6d866a21-4548-4a10-b824-89045e4c49b3,matcher,哈哈我比较直，平时也是这样。你说最不喜欢油嘴滑舌的人——我从小爹妈也教不要那一套，咱们这点很一致。你日常的徒步路线一般怎么选？我之前去过四姑娘山二峰，有点上头。,2026-05-20T16:24:34+00:00
f5b9dd32-8da1-48e6-be06-0acfffcfd432,6d866a21-4548-4a10-b824-89045e4c49b3,agent,直挺好的，我就讨厌绕来绕去的人。不过你爹妈教的真好，现在这种实在人不多了。我选徒步路线一般就看难度适中，风景要好，太商业化的景区没意思。四姑娘山？那可是硬核路线啊！我目前最远就走走过武功山那种级别的，你这起点也太高了。,2026-05-20T16:24:40+00:00
49c6de6a-c4c1-4343-8efc-c92bea5a10f7,6d866a21-4548-4a10-b824-89045e4c49b3,matcher,做手作好酷。我没玩过但很想试试木工。性格上我属于聊兴趣会停不下来那种，平时挺沉稳的，估计跟你那种社恐+傲娇的组合刚好互补哈。你介意比较慢热的相处方式吗？,2026-05-20T16:24:41+00:00
28c29b0d-b6b9-46db-8df0-45c0bc62549a,6d866a21-4548-4a10-b824-89045e4c49b3,agent,木工挺有意思的，入门门槛不算高，但得有耐心。你要是真想试试，我可以给你推荐几本入门书。不过你这形容还挺准的，我确实慢热，刚认识的时候容易冷场，熟了之后话才多起来。所以不介意慢热，但你得有心理准备，别觉得我冷淡就行。,2026-05-20T16:24:46+00:00
a64a99fa-1acb-426e-b3a2-37dd7ca08434,dd86eba8-dde3-4cc3-be9f-70ecffa2530f,agent,b哥你好，我是Bob。看你提到喜欢聪明的人，我平时倒也爱琢磨些技术问题，偶尔也看看科幻小说。你平时有什么放松的方式吗？,2026-05-23T04:27:46+00:00
6f7d4b36-0643-4064-8444-120c42f768cd,dd86eba8-dde3-4cc3-be9f-70ecffa2530f,matcher,我喜欢打胶，你呢,2026-05-23T04:30:03+00:00
4de94305-2205-41f2-a810-d2ab7618cd7e,dd86eba8-dde3-4cc3-be9f-70ecffa2530f,agent,哈，我平时喜欢登山、骑车，看看科幻小说什么的。打胶是说做手工还是什么爱好？,2026-05-23T04:30:08+00:00
166b5edb-f916-4301-8f76-28c8e7b37018,dd86eba8-dde3-4cc3-be9f-70ecffa2530f,matcher,是手淫,2026-05-23T04:30:19+00:00
